model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
20년 테슬라 모델3(전기),IMPORTED,2940,9335.916666666666,26180921.0,0,388.99652777777777,0.13231174414210128,830452.0,830452.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,25350469.0,0.9682802602704466
21년 벤츠 C클래스 카브리올레(휘),IMPORTED,1176,6231.3,24722390.0,66,259.6375,0.2207801870748299,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,24722390.0,1.0
26년 스타리아 11인승 하이브리드(휘),RV,913,5436.033333333334,24528931.0,8,226.5013888888889,0.2480847632956067,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,24528931.0,1.0
22년 니로 하이브리드(휘),SUV,4704,12442.566666666668,24427475.0,0,518.4402777777779,0.11021264408541195,47300.0,47300.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,24380175.0,0.9980636557810416
23년 GV80 4륜(7인/휘),SUV,2352,6113.916666666667,24110865.0,0,254.7465277777778,0.10831059854497356,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,24110865.0,1.0
26년 투싼(휘),SUV,928,8969.816666666668,23650275.0,23,373.74236111111117,0.4027396132662836,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,23650275.0,1.0
21/22년 트레일블레이저(휘),SUV,4704,13502.733333333334,23183310.0,0,562.6138888888889,0.11960329270597128,474226.0,474226.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,22709084.0,0.9795445085279022
25년 포르쉐 카이엔 하이브리드 쿠페 4륜,SUPERCAR,457,1362.8333333333333,22495395.0,82,56.78472222222222,0.12425540967663506,703000.0,703000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,21792395.0,0.9687491595502101
24년 G80 4륜(휘),LUXURY,1764,6179.133333333333,21652599.0,6,257.4638888888889,0.14595458553791887,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,21652599.0,1.0
20/21년 BMW Z4 로드스터(휘),IMPORTED,1176,4950.766666666666,20578019.0,42,206.28194444444443,0.17540981670445954,2241610.0,1464533.0000000005,777076.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,19113486.0,0.9288302241338197
23년 쏠라티(15인/경유),RV,2352,1967.55,18550725.0,0,81.98125,0.034855973639455785,552590.0,552590.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,17998135.0,0.9702119458942979
22년 스포티지(경유),SUV,4420,7302.716666666667,18045910.0,0,304.27986111111113,0.06884159753645049,130000.0,130000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,17915910.0,0.9927961515933528
26년 그랜저 GN7(휘),LUXURY,927,5208.333333333333,17876803.0,0,217.01388888888889,0.23410344000958888,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,17876803.0,1.0
21년 쏘나타DN8(휘),MIDSIZE,5880,11117.783333333333,17704405.0,0,463.2409722222222,0.07878247826908541,143000.0,143000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,17561405.0,0.9919229140996266
21년 GV70(5인/휘),SUV,2352,5611.566666666667,17599195.0,0,233.81527777777777,0.09941125755857898,308460.0,308460.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,17290735.0,0.9824730619781189
22년 BMW 미니 컨버터블(휘),IMPORTED,2352,7619.3,20452384.0,2,317.47083333333336,0.13497909580498868,13808193.0,3480929.0000000014,10327264.0,908483.0000000005,,unavailable_purchase_sale_fields,16971455.0,0.8298032640106894
