dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
language,da,no_insurance_selected_event_among_reservation_users,reservation_users,6,1,0.16666666666666666,0.8309742742018804,-0.6643076075352138,-4.336302661460113,1.4489939418103149e-05,False,9.659959612068766e-05,True,lower,insurance_dropoff
language,de,no_insurance_selected_event_among_reservation_users,reservation_users,26,11,0.4230769230769231,0.8316595920902785,-0.40858266901335544,-5.546157379994574,2.9201600263560317e-08,False,2.9201600263560314e-07,True,lower,insurance_dropoff
language,en,no_insurance_selected_event_among_reservation_users,reservation_users,1922,743,0.38657648283038504,0.9404869251577999,-0.5539104423274148,-57.95494904628238,0.0,True,0.0,True,lower,insurance_dropoff
language,es,no_insurance_selected_event_among_reservation_users,reservation_users,28,9,0.32142857142857145,0.8320389354872113,-0.5106103640586399,-7.19199286736674,6.385236682600117e-13,False,9.577855023900175e-12,True,lower,insurance_dropoff
language,fr,no_insurance_selected_event_among_reservation_users,reservation_users,28,13,0.4642857142857143,0.8316247281764523,-0.367339013890738,-5.17400302416172,2.291311123847392e-07,False,1.9639809632977645e-06,True,lower,insurance_dropoff
language,hr,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.008029017590423636,True,lower,insurance_dropoff
language,id,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.912705628466647,False,higher,insurance_dropoff
language,it,no_insurance_selected_event_among_reservation_users,reservation_users,18,5,0.2777777777777778,0.8315920140684804,-0.5538142362907026,-6.257570026610836,3.910220962855063e-10,False,4.692265155426076e-09,True,lower,insurance_dropoff
language,ja,no_insurance_selected_event_among_reservation_users,reservation_users,10,4,0.4,0.8310077519379845,-0.43100775193798446,-3.631366302273853,0.0002819246991384206,False,0.0015377710862095669,True,lower,insurance_dropoff
language,ko,no_insurance_selected_event_among_reservation_users,reservation_users,25,17,0.68,0.830952380952381,-0.15095238095238095,-2.009361265342961,0.044498834958456815,False,0.13349650487537043,False,lower,insurance_dropoff
language,lt,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.912705628466647,False,higher,insurance_dropoff
language,nl,no_insurance_selected_event_among_reservation_users,reservation_users,19,8,0.42105263157894735,0.8313676805296917,-0.41031504895074433,-4.762962175309802,1.907716109893693e-06,False,1.4307870824202696e-05,True,lower,insurance_dropoff
language,pl,no_insurance_selected_event_among_reservation_users,reservation_users,4,2,0.5,0.8306993079227353,-0.3306993079227353,-1.7627181764289936,0.07794803357943617,False,0.20334269629418128,False,lower,insurance_dropoff
language,pt,no_insurance_selected_event_among_reservation_users,reservation_users,7,2,0.2857142857142857,0.8309568092581112,-0.5452425235438255,-3.844067801272725,0.00012101154859158715,False,0.0007260692915495229,True,lower,insurance_dropoff
language,ro,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.08939823548976389,False,lower,insurance_dropoff
language,ru,no_insurance_selected_event_among_reservation_users,reservation_users,13,6,0.46153846153846156,0.8310587262200165,-0.36952026468155497,-3.5491762887719984,0.0003864382756624295,False,0.0019321913783121472,True,lower,insurance_dropoff
language,sk,no_insurance_selected_event_among_reservation_users,reservation_users,2,1,0.5,0.8306310027883921,-0.3306310027883921,-1.2463012456925546,0.21265382072242273,False,0.47256404604982827,False,lower,insurance_dropoff
language,sq,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.912705628466647,False,higher,insurance_dropoff
language,sr,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.08939823548976389,False,lower,insurance_dropoff
