vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
2117,25년 더뉴스포티지 하이브리드 4륜(휘),SUV,2324,1854,391,79,2025-01-08 00:00:00,2026-08-22 07:00:00,1850,266568838,144091.2637837838,115601.77,13,25000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2106,25년 레이(휘),URBAN,4353,3425,774,154,2024-12-18 00:00:00,2026-08-22 11:00:00,3421,255229308,74606.63782519731,200712.18,20,36800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2111,25년 쏠라티(15인/경유),RV,303,211,82,10,2025-01-02 00:00:00,2026-08-19 05:00:00,204,101400855,497063.01470588235,11827.18,4,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2155,25년 아반떼 하이브리드(휘),COMPACT,2402,1927,399,76,2025-04-07 00:00:00,2026-08-24 23:30:00,1921,213117518,110940.92555960437,111981.28,15,75000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2224,25년 카니발 리무진 하이브리드 7인(휘),RV,627,469,138,20,2025-05-22 00:00:00,2026-08-22 05:00:00,467,109710205,234925.49250535332,29853.17,5,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2105,25년 카니발 하이브리드 9인승(휘),RV,1232,933,258,41,2024-12-18 00:00:00,2026-08-20 22:00:00,927,198867490,214528.03667745416,57835.77,8,68000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2124,25년 카니발리무진 7인승(경유),RV,660,466,168,26,2025-01-15 00:00:00,2026-08-25 06:30:00,466,98363575,211080.6330472103,28999.9,4,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2123,25년 카니발리무진 7인승(휘),RV,821,629,171,21,2025-01-15 00:00:00,2026-08-22 07:00:00,623,132705498,213010.43017656502,38891.65,5,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2104,25년 투싼 4륜(휘),SUV,1140,908,192,40,2024-12-13 00:00:00,2026-08-23 09:00:00,905,121087942,133798.83093922652,53146.0,6,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2143,25년 투싼 하이브리드 4륜(휘),SUV,1591,1281,252,58,2025-03-04 00:00:00,2026-08-21 06:30:00,1275,180651909,141687.7717647059,77745.72,10,66000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
