model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
쏠라티,RV,2025.0,2348,230.14930555555554,52167620.0,0.8049281314168377,0.09801929538141207,22217.89608177172,97.0,82.0,537810.5154639175,2.0
쏠라티,RV,2026.0,239,36.65277777777778,10718395.0,0.2835565712714682,0.1533589028358903,44846.8410041841,18.0,12.0,595466.3888888889,1.0
아반떼,COMPACT,2019.0,784,0.0,0.0,6.134154688569473,0.0,0.0,,,,6.0
아반떼,COMPACT,2020.0,2940,150.07986111111111,4731160.0,5.805612594113621,0.05104757180650038,1609.2380952380952,65.0,47.0,72787.07692307692,5.0
아반떼,COMPACT,2021.0,8820,1164.8631944444444,36014470.0,4.803559206023271,0.13207065696649029,4083.2732426303855,464.0,374.0,77617.3922413793,4.0
아반떼,COMPACT,2024.0,9408,2952.809027777778,112494946.9447779,1.8056125941136205,0.31386150380291006,11957.371061307176,1277.0,925.0,88316.2920908379,2.0
아반떼,COMPACT,2025.0,7012,2574.0819444444446,121845862.56578948,0.9349760438056126,0.36709668346326935,17376.763058441167,1152.0,892.0,105815.25434027778,1.0
아반떼,COMPACT,2026.0,2438,634.2555555555556,27144404.9375,0.36139630390143734,0.2601540424756176,11133.882254922068,283.0,222.0,96690.40282685512,3.0
아우디 Q4 e-tron,IMPORTED,2026.0,41,0.0,0.0,0.5530458590006844,0.0,0.0,,,,1.0
아우디A5 카브리올레,IMPORTED,2021.0,588,63.04097222222222,6139865.0,4.803559206023271,0.10721253779289494,10441.947278911564,30.0,26.0,204662.16666666666,1.0
아우디Q5 40 TDI quattro,IMPORTED,2026.0,21,0.0,0.0,0.5804243668720055,0.0,0.0,,,,1.0
아이오닉,EV,2021.0,5880,981.3756944444444,44685995.0,4.803559206023271,0.1669006283068783,7599.659013605442,370.0,308.0,120772.95945945945,1.0
엑센트,URBAN,2019.0,98,0.25,22000.0,6.134154688569473,0.002551020408163265,224.48979591836735,1.0,0.0,22000.0,1.0
카니발,RV,2018.0,6012,146.29236111111112,9485680.0,7.723500272624972,0.02433339339838841,1577.7910844976714,53.0,43.0,178975.09433962265,7.0
카니발,RV,2019.0,4701,209.80555555555554,15656090.0,6.719161632875474,0.044629984164125835,3330.374388427994,75.0,66.0,208747.86666666667,6.0
카니발,RV,2021.0,3920,222.24166666666667,15784040.0,4.707734428473648,0.056694302721088434,4026.5408163265306,81.0,66.0,194864.6913580247,5.0
카니발,RV,2023.0,21168,1767.2597222222223,121477909.69433041,2.8049281314168377,0.08348732625766356,5738.75234761576,644.0,536.0,189754.47826086957,4.0
