date,model_name,vehicle_class,model_year_latest,model_family,fleet_count,vehicle_age_years,age_bucket,booked_hours,revenue_krw,fleet_vehicle_days,booked_vehicle_days,utilization_rate,revenue_per_fleet_day
2025-01-02,20년 K5(LPG) 청주지점,MIDSIZE,2020.0,K5,7,5.004791238877481,4-5년,0.0,0.0,7,0.0,0.0,0.0
2025-01-02,20년 K5(휘),MIDSIZE,2020.0,K5,10,5.004791238877481,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-02,20년 QM6(LPG),SUV,2020.0,QM6,4,5.004791238877481,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,20년 SM6(휘),MIDSIZE,2020.0,SM6,2,5.004791238877481,4-5년,0.0,0.0,2,0.0,0.0,0.0
2025-01-02,20년 더 뉴 그랜저(LPG),LUXURY,2020.0,더 뉴 그랜저,3,5.004791238877481,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-02,20년 더 뉴 그랜저(휘),LUXURY,2020.0,더 뉴 그랜저,4,5.004791238877481,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,20년 베리뉴티볼리(경유),SUV,2020.0,베리뉴티볼리,4,5.004791238877481,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2020.0,벤츠,4,5.004791238877481,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,20년 셀토스(휘),SUV,2020.0,셀토스,4,5.004791238877481,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,20년 쏘나타DN8(LPG),MIDSIZE,2020.0,쏘나타,14,5.004791238877481,4-5년,0.0,0.0,14,0.0,0.0,0.0
2025-01-02,20년 쏘나타DN8(휘),MIDSIZE,2020.0,쏘나타,7,5.004791238877481,4-5년,0.0,0.0,7,0.0,0.0,0.0
2025-01-02,20년 올뉴k3(휘),COMPACT,2020.0,K3,10,5.004791238877481,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-02,20년 올뉴아반떼CN7(휘),COMPACT,2020.0,아반떼,5,5.004791238877481,4-5년,0.0,0.0,5,0.0,0.0,0.0
2025-01-02,20년 코나(전기),EV,2020.0,코나,35,5.004791238877481,4-5년,0.0,0.0,35,0.0,0.0,0.0
2025-01-02,20년 테슬라 모델3(전기),IMPORTED,2020.0,테슬라 모델3,5,5.004791238877481,4-5년,0.0,0.0,5,0.0,0.0,0.0
2025-01-02,21/22년 BMW 420i 컨버터블(휘),IMPORTED,2022.0,BMW 420i,4,3.0034223134839153,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-02,21/22년 트레일블레이저(휘),SUV,2022.0,레이,8,3.0034223134839153,2-3년,0.0,0.0,8,0.0,0.0,0.0
